startup_name,description,categorie,pays,ouverture,resultat,raison,fermeture,nombre_de_fondateur,founder,nombre_d_employe,founding_round,Total_funding,Profit,nombre_d_investisseur
Musical.ly,Video-based social network,Social Media,China,2014,Acquired,Acquisition Flu,2018,2,"Alex Zhu, Luyu Yang",44,4,812356,-1,14
Stereomood,Music platform that provided mood-based song listings,Music,Italy,2009,Acquired,Acquisition Flu,2015,4,"Daniele Novaga, Eleonora Viviani, Giovanni Ferron, Maurizio Pratici",43,1,937806,-1,1
adproval,"Matthew founded Adproval, a marketplace to connect blogging and social media influencers",Marketing,United States,2011,Acquired,Bad Business Model,2021,1,Matthew Anderson,8,1,297425,-1,8
Desti,Online travel guide app,Travel,United States,2011,Acquired,Bad Business Model,2014,3,"Imri Goldberg, Mosi Shuchman, Nadav Gur",4,2,56382,-1,3
legaats,Legaats was a web app where baby boomers and senior citizens could,Social Media,United States,2017,Acquired,Bad Business Model,2018,1,Deepak Chhugani,8,3,18264,-1,5
Maple,High-quality food delivery startup,Food & Beverage,United States,2014,Acquired,Bad Business Model,2017,2,"Akshay Navle, Caleb Merkl",137,2,1764969,-1,8
Sunrise,Calendar app for mobile and desktop,Productivity,France,2012,Acquired,Bad Business Model,2016,2,"Jeremy Le Van, Pierre Valade",6,4,100266,-1,27
Kiko,Ajax-style online calendar application,Productivity,United States,2003,Acquired,Bad Management,2008,2,"Emmett Shear, Justin Kan",20,1,466574,-1,1
asktina,AskTina was a live video chat widget for experts to install on,Software & Hardware,United Kingdom,2016,Acquired,Bad Market Fit,2018,1,Tom Hunt,33,1,124815,-1,4
localtown,"Michael founded LocalTown, an online marketplace built using no-code tools. After noticing",Software & Hardware,United States,2016,Acquired,Bad Market Fit,2021,2,Michael Novotny,36,4,722039,-1,8
observa,"In 2020, Rob left his job at Robinhood to start an intrusion",Software & Hardware,United States,2020,Acquired,Bad Market Fit,2023,1,Rob Picard,21,3,289601,-1,2
ringdaddy,Isaac Medeiros is a 23-year-old digital marketer that recently launched his first,Marketing,Brazil,2019,Acquired,Bad Market Fit,2021,1,Isaac Medeiros,36,3,155143,-1,4
weplate,Alex started WePlate looking for a way to keep a healthy diet,Health,United States,2018,Acquired,Bad Market Fit,2023,1,Alex Hu,44,3,1026815,-1,5
young-entrepreneurs-program,"Fabian founded Young Entrepreneurs Program, a one-year educational program for entrepreneurs aged",Education,Germany,2018,Acquired,Bad Market Fit,2021,5,Fabian Tausch,45,2,387219,-1,1
tailor,"Joe is a 25-year-old founder who, following Pieter Levels example, decided to",Analytics,United Kingdom,2000,Acquired,Bad Marketing,2019,1,Joe DÃ¢â‚¬â„¢elia,31,4,2627734,-1,7
Tutorspree,Web-based tuition services,Education,United States,2010,Acquired,Bad Marketing,2013,3,"Aaron Harris, Josh Abrams, Ryan Bednar",86,2,773617,-1,10
twitch-highlights,Tzelon and Ron are two developers who came with an idea: creating,Entertainment,Israel,2015,Acquired,Bad Marketing,2019,1,Tzelon Machluf,16,2,295322,-1,8
Gowalla,Social Guide to world's cities,Social Media,United States,2007,Acquired,Competition,2013,2,"Josh Williams, Scott Raymond",30,3,741191,-1,11
Kno,Education software startup,Education,United States,2009,Acquired,Competition,2013,2,"Babur Habib, Osman Rashid",10,7,144551,-1,10
Rafter,Textbook and course material provider for schools,Education,United States,2006,Acquired,Competition,2016,1,Sara Leoni,28,7,1032645,-1,7
Sidecar,Provided B2B delivery transportation network,Transportation,United States,2011,Acquired,Competition,2015,2,"Jahan Khanna, Sunil Paul",26,5,350626,-1,21
Lookery,Demographic marketing services in social networks,Marketing,United States,2007,Acquired,Dependence on Others,2009,3,"David Cancel, Rex Dixon, Todd Sawicki",8,2,22175,-1,22
haptly,"In 2016, Nelson entered the drone business when trying to develop a",Software & Hardware,New Zealand,2016,Acquired,Lack of Experience,2018,1,Nelson Shaw,31,1,110326,-1,4
melon,"Kevin was the founder of Melon, a food delivery startup aimed at",Food & Beverage,United States,2018,Acquired,Lack of Experience,2020,3,Kevin Wang,47,2,133755,-1,9
brisk,Brisk was a prescriptive intelligence company which suffered from lack of focus.,Software & Hardware,Sweden,2002,Acquired,Lack of Focus,2018,1,Hampus Jakobsson,33,1,2486380,-1,1
ink,"Andrew Askins, in partner with two of his best friends, started his",Software & Hardware,United States,2014,Acquired,Lack of Focus,2018,3,Andrew Askins,25,2,326365,-1,5
openmargin,"Marc co-founded *openmargin, a social e-reader app that turned books into small",Productivity,Netherlands,2009,Acquired,Lack of Focus,2021,2,Marc KÃƒÂ¶hlbrugge,39,1,1653646,-1,9
Springpad,"Allowed users organize projects, ideas and to-doÃ¢â‚¬â„¢s",Productivity,United States,2008,Acquired,Lack of Focus,2014,1,Jason Horman,23,3,562997,-1,1
Tilt,Social payment startup focused on crowd-funding,Finances,United States,2012,Acquired,Lack of Focus,2017,3,"James Beshara, Karolyn Baxter, Khaled Hussein",68,4,1553313,-1,26
Circa,Mobile news app on diverse topics,Entertainment,United States,2011,Acquired,Lack of Funds,2015,3,"Arsenio Santos, Ben Huh, Matt Galligan",28,8,394110,-1,39
Daqri,Augmented Reality Experiences,Software & Hardware,United States,2010,Acquired,Lack of Funds,2019,3,"Brian Mullins, Gaia Dempsey, Philip Tolk",60,2,2062815,-1,1
hitronasplet,HitroNaSplet was a hosting reseller company. They invested a lot of time,Software & Hardware,Slovenia,2015,Acquired,Lack of Funds,2018,1,Ales Krivec,7,1,80907,-1,1
inovvorx,InoVVorX was an app development company that both worked for clients and,Software & Hardware,India,2010,Acquired,Lack of Funds,2020,1,Maxim Dsouza,21,4,846427,-1,2
mishra-motors,Mishra Motors was to be the premier electric sports bike in India.,Transportation,India,2014,Acquired,Lack of Funds,2018,1,Naveen Mishra,24,1,443152,-1,4
okami-pack,Tim is a 32-years-old entrepreneur who in 2014 spent 10 months working,e-Commerce,United States,2014,Acquired,Lack of Funds,2019,1,Tim Chard,26,2,544568,-1,6
Verelo,Offered website monitoring services,Analytics,Canada,2012,Acquired,Lack of Funds,2012,2,"McGrath, Michael Curry",8,0,0,-1,0
RethinkDB,Scalable database for the real-time web,Software & Hardware,United States,2009,Acquired,Lack of PMF,2016,2,"Michael Glukhovsky, Slava Akhmechet",20,4,424589,-1,16
HiGear,Private car-sharing club for luxury and sports cars,Transportation,United States,2011,Acquired,Legal Challenges,2011,2,"Ali Moiz, Murtaza Hussain",3,0,0,-1,0
sport-draftr,"Will created Sport Draftr, a Daily Fantasy Sports site in the UK,",Entertainment,United Kingdom,2015,Acquired,Legal Challenges,2019,2,Will Laurenson,44,4,804069,-1,1
Beepi,P2P used car online marketplace,Transportation,United States,2013,Acquired,Mismanagement of Funds,2016,2,"Ale Resnik, Owen Savir",142,6,1898806,-1,31
Crowdmix,Music streaming and sharing platform,Music,United Kingdom,2013,Acquired,Mismanagement of Funds,2016,2,"Gareth Ingham, Ian Roberts",131,1,1081164,-1,2
Fuhu,Designer and seller of cloud-served softwares,Software & Hardware,United States,2006,Acquired,Mismanagement of Funds,2015,3,"John Hui, Robb Fujioka, Steve Hui",480,5,14969921,-1,8
Fab,Online design marketplace,e-Commerce,United States,2009,Acquired,Multiple Reasons,2013,5,"Bradford Shane Shellhammer, Deepa Shah, Jason Goldberg, Nishith Shah, Sunil Khedar",235,11,2938101,-1,34
MySpace,Social network based on personal user pages,Social Media,United States,2003,Acquired,Multiple Reasons,2023,7,"Aber Whitcomb, Brad Greenspan, Chris DeWolfe, Colin Digiaro, Josh Berman, Michael Addicott, Tom Anderson",425,1,24220359,-1,2
delite,Delite was a SaaS platform for B2B wholesale orders. It didnÃ¢â‚¬â„¢t satisfy,Software & Hardware,United States,2016,Acquired,No Market Need,2018,1,Patrick Walls,6,4,21310,-1,5
Moped,Free messaging application,Social Media,Germany,1998,Acquired,No Market Need,2014,1,Schuyler Deerman,18,1,968157,-1,4
pactero,"Wes founded Pactero, a platform to simplify the process of managing income",Education,United States,2019,Acquired,No Market Need,2021,1,Wes Wagner,46,1,189590,-1,1
Shipitwise,SaaS software for transportation companies,Transportation,Estonia,2016,Acquired,No Market Need,2019,5,"Aleksander Gansen, Anna Medjanskaja, Olari Miiter, Ragmar Saksing & Sander Gansen",2,5,25589,-1,4
benja,"Benja's ad network was initially a success, but fundraising troubles led to",e-Commerce,United States,2010,Acquired,Other,2023,1,Drew Chapin,30,4,1089967,-1,4
thepresence,"Inspired by the iOS app Launchpad, Miloslav Voloskov started drafting ideas to",Software & Hardware,Russia,2018,Acquired,Other,2020,1,Miloslav Voloskov,13,3,40545,-1,4
Karhoo,Cab aggregator and price comparison tool,Transportation,United Kingdom,2014,Acquired,Poor Product,2016,1,Daniel Ishag,46,2,164428,-1,3
kaya-gs,"In 2011, Gabriel decided to build a Go Server that would launch",Entertainment,Argentina,2011,Acquired,Poor Product,2020,1,Gabriel Benmergui,41,3,1498813,-1,6
Juicero,First home cold-pressed juicing system,Food & Beverage,United States,2013,Bankruptcy,Bad Business Model,2017,1,Doug Evans,97,4,1429753,-1,16
syria-airlift-project,"Mark founded the Syria Airlift Project, a moonshot nonprofit effort to break",Software & Hardware,United States,2013,Bankruptcy,Bad Business Model,2021,1,Mark D. Jacobsen,19,4,544594,-1,6
Toys R Us,"Toy, baby, and clothing retail store",Entertainment,United States,1957,Bankruptcy,Bad Business Model,2021,1,Charles Lazarus,10,0,2143820,-1,110
freshconnect,"Tarun co-founded Freshconnect, an online B2B marketplace for fresh agricultural produce like",e-Commerce,India,2013,Bankruptcy,Bad Management,2021,3,Tarun Gupta,42,2,1040235,-1,2
lieferoo,"In 2014, Aazar, a Pakistani entrepreneur, decided to create an Uber for",Transportation,Germany,2014,Bankruptcy,Bad Marketing,2019,1,Aazar Shad,42,3,614191,-1,5
mongoose-cricket,"In 2009, Thomas Evans began working alongside Marcus, the creator of a",e-Commerce,United Kingdom,2009,Bankruptcy,Bad Marketing,2019,1,Thomas Evans,24,3,958771,-1,5
uptrend,Maverick shifted from being an athlete to becoming an entrepreneur after seriously,Marketing,Singapore,2020,Bankruptcy,Bad Marketing,2020,1,Maverick Lim,7,3,500646,-1,1
Rdio,Digital music service provider,Music,United States,2008,Bankruptcy,Competition,2015,3,"Carter Adamson, Janus Friis, Niklas ZennstrÃƒÂ¶m",53,6,1589104,-1,5
Take Eat Easy,Restaurants delivered to your door,Food & Beverage,Belgium,2013,Bankruptcy,Competition,2016,4,"Adrien Roose, ChloÃƒÂ© Roose, Jean-Christophe Libbrecht, Karim Slaoui",57,3,519951,-1,5
teacher-finder,Andrew Davison is one of the automation kings. He is a Zapier,Education,Hungary,2016,Bankruptcy,Competition,2021,1,Andrew Davison,28,4,542653,-1,6
SellanApp,Connected creatives with app developers,Finances,The Netherlands,2012,Bankruptcy,Failure to Pivot,2015,2,"Aernoud Dekker, Milan van den Bovenkamp",5,0,42464,-1,0
Katerra,Transforming Construction Through Innovation,Software & Hardware,United States,2015,Bankruptcy,Lack of Focus,2021,3,"Fritz H. Wolff, Jim Davidson, Michael Marks",6211,12,144980721,-1,16
Admazely,Easy-to-setup retargeting for web shops,Marketing,Denmark,2011,Bankruptcy,Lack of Funds,2013,4,"David BjÃƒÂ¶rklund, Peter Vilsholm Therkildsen, Sylwia Erhardt-Bednarska, SÃƒÂ¸ren Holbech Nielsen",7,1,32424,-1,3
birdy,The Birdy was a simple app to track spending habits. Corey never,Finances,United States,2003,Bankruptcy,Lack of Funds,2018,1,Corey Maass,31,3,1397161,-1,4
quickhaggle,QuickHaggle was a community in which online users could exchange their skills.,Software & Hardware,Pakistan,2008,Bankruptcy,Lack of Funds,2018,1,Bilal Ahmad,15,3,477949,-1,8
RoomsTonite,Last-minute hotel booking provider,Travel,India,2014,Bankruptcy,Lack of Funds,2017,1,Suresh John,172,1,1599784,-1,4
wura,WURA was an on-demand video platform for African and Nollywood movies. Mike,Entertainment,United States,2013,Bankruptcy,Lack of Funds,2018,1,Michael Ojo,29,2,658233,-1,1
DotCloud,"Enabled developers to host, assemble and run their applications",Software & Hardware,United States,2008,Bankruptcy,Mismanagement of Funds,2016,1,Solomon Hykes,164,3,4868198,-1,15
Munchery,Gourmet meals at your doorstep,Food & Beverage,United States,2011,Bankruptcy,Multiple Reasons,2019,3,"Conrad Chu, Tri Tran, Van Tran",112,8,2650026,-1,20
Quirky,Community-led invention platform,Finances,United States,2009,Bankruptcy,Multiple Reasons,2015,1,Ben Kaufman,64,9,1346228,-1,12
Shipbeat,Shipping API for e-commerce companies,e-Commerce,Denmark,2014,Bankruptcy,Multiple Reasons,2016,2,"Joachim RÃƒÂ¸rbÃƒÂ¸l, Kenneth Svenningse",39,1,136388,-1,3
WOW Air,Ultra-low-cost transatlantic airline service,Transportation,Iceland,2011,Bankruptcy,Multiple Reasons,2019,1,Skuli Mogensen,38,1,1189027,-1,1
abby,ABBY was a documentation service for A/B tests. To make such a,Analytics,Germany,2014,Bankruptcy,No Market Need,2018,1,Andy Goldschmidt,23,4,413785,-1,8
eventloot,"Justin Anyanwu is a maker who a few years ago built Eventloot,",Software & Hardware,United States,2013,Bankruptcy,No Market Need,2018,1,Justin Anyanwu,44,4,614683,-1,9
hello-tyro,"Pierre co-founded Hello Tyro, a platform matching students with internship opportunities in",Software & Hardware,Belgium,2021,Bankruptcy,No Market Need,2021,1,Pierre Tillement,11,3,103432,-1,5
ne-lounge,"Following his objective of reaching $10k/month from his online businesses, Jake launched",e-Commerce,United States,2020,Bankruptcy,No Market Need,2020,1,Jake Lang,14,2,1080880,-1,6
tandem-app,"Will is a software engineer based in San Francisco, who co-founded Tandem,",Health,United States,2017,Bankruptcy,No Market Need,2019,2,Will Sun,6,4,26603,-1,3
Seven Dreamers Laboratories,"Robot that washes, dries and irons clothes",Software & Hardware,Japan,2014,Bankruptcy,Poor Product,2019,1,Shin Sakane,117,3,2687393,-1,4
Dopplr,Social travel network service,Travel,United States,2007,Shut Down,Acquisition Flu,2023,5,"Dan Gillmor, Lisa Sounio, Marko Ahtisaari, Matt Jones, Taneli Tikka",3,3,155650,-1,16
Parse,Cloud-based software developer kits,Software & Hardware,United States,2011,Shut Down,Acquisition Flu,2016,4,"Ilya Sukhar, James Yu, Kevin Lacker, Tikhon Bernstam",28,2,387502,-1,17
Pixate,Platform for mobile interaction design,Design,United States,2012,Shut Down,Acquisition Flu,2016,2,"Kevin Lindsey, Paul Colton",6,1,95153,-1,1
bediwin-information-services,James is a IT professional who decided to start a business on,Software & Hardware,United Kingdom,2015,Shut Down,Bad Business Model,2018,1,James Cort,34,4,339214,-1,8
Call9,On-demand doctors in emergency situations,Health,United States,2015,Shut Down,Bad Business Model,2019,3,"Celina Tenev, Timothy Peck, XiaoSong Mu",189,3,3151938,-1,10
CircleBack Lending,A P2P marketplace for online lending,Finances,United States,2012,Shut Down,Bad Business Model,2016,2,Manoj Ramnani & Patrick Questembert,4,1,70751,-1,4
cuddli,"Robert was the co-founder of Cuddli, a dating app for geeks. The",Software & Hardware,United States,2016,Shut Down,Bad Business Model,2020,1,Robert Walker,39,2,468157,-1,1
Design Inc.,Marketplace for high-quality design work,Design,United States,2016,Shut Down,Bad Business Model,2017,2,"Bjoern Zinssmeister, Marc Hemeon",7,1,10891,-1,1
Dinner Lab,Membership-based social dining experiment,Food & Beverage,United States,2011,Shut Down,Bad Business Model,2016,3,"Brian Bordainick, Francisco Robert, Zach Kupperman",7,2,103432,-1,5
Flowtab,Mobile app to order drinks on nightclubs,Food & Beverage,United States,2011,Shut Down,Bad Business Model,2013,1,Mike Townsend,38,0,159094,-1,0
formatically,Duncan Hamra has been building businesses with his best friend Tyler since,Education,United States,2013,Shut Down,Bad Business Model,2021,2,Duncan Hamra,48,4,1080880,-1,6
Glitch,Social MMO Browser Game,Entertainment,United States,2010,Shut Down,Bad Business Model,2012,1,Steward Butterfield,8,2,29070,-1,2
graphite-docs,"Justin Hunter had the courage to challenge Google Docs, all because he",Software & Hardware,United States,2017,Shut Down,Bad Business Model,2020,1,Justin Hunter,34,1,346638,-1,2
gulp,Jeff Orr and two friends in college started Gulp- an app to,Software & Hardware,United States,2018,Shut Down,Bad Business Model,2019,1,Jeff Orr,41,4,71082,-1,4
hot-barber,Hot Barber was a website that let hair stylists set up profiles,Software & Hardware,United States,2014,Shut Down,Bad Business Model,2018,1,Julia Enthoven,39,3,558611,-1,5
hubrif,Tobi Ogunwande is a Nigerian filmmaker who tried to build the Netflix,Entertainment,Nigeria,2015,Shut Down,Bad Business Model,2019,1,Tobi Ogunwande,7,3,106629,-1,9
jobridge,Jasmeet is an Indian software engineer who a few years ago decided,Software & Hardware,India,2014,Shut Down,Bad Business Model,2019,1,Jasmeet Singh,9,4,192705,-1,2
lernin-games,Jordi MirÃƒÂ³ has been building products and companies since 2007. After a,Education,Spain,2005,Shut Down,Bad Business Model,2021,2,Jordi MirÃƒÂ³,18,3,1247709,-1,1
Mailbox,"Inbox that made email light, fast, and mobile-friendly.",Productivity,United States,2011,Shut Down,Bad Business Model,2015,2,"Gentry Underwood, Scott Cannon",460,1,7981488,-1,6
MatterFab,Selling affordable solutions for metal 3-D printing,Software & Hardware,United States,2013,Shut Down,Bad Business Model,2019,1,Matthew Burris,4,3,87890,-1,7
Move Loot,Furniture online marketplace,e-Commerce,United States,2013,Shut Down,Bad Business Model,2016,4,"Bill Bobbitt, Jenny Karin Morrill, Ryan Smith, Shruti Shah",17,3,239385,-1,18
onepagetrip,Onepagetrip was a travel itinerary sharing community. Not having a plan to,Travel,Australia,2017,Shut Down,Bad Business Model,2018,1,Ana Santos,36,4,51946,-1,7
phez,"Shanti is a 38-year-old software developer and entrepreneur who, using Ruby on",Social Media,United States,2015,Shut Down,Bad Business Model,2018,1,Shanti Braford,11,1,108593,-1,7
Poliana,Web application that simplified the legislative system,Analytics,United States,2013,Shut Down,Bad Business Model,2015,4,"Grayson Carroll, Patrick Cason, Seth Whiting, Shawn Whiting",8,1,25181,-1,2
rent-nest,"Steven was co-founder at Rent Nest, an app that allowed users to",Software & Hardware,United States,2015,Shut Down,Bad Business Model,2020,1,Steven Glod,36,1,696075,-1,3
TeeBeeDee,Network for people over 40 to share experiences,Social Media,United States,2007,Shut Down,Bad Business Model,2009,4,"David Markus, Jon Brandt, Robin Wolaner, Todd Basche",42,1,195411,-1,2
Tink Labs,Smartphone Supplier for Hotel Chains,Travel,Hong Kong,2012,Shut Down,Bad Business Model,2019,1,Terence Kwok,433,4,13683678,-1,5
toygaroo,Toygaroo was the Netflix of toys. Funded by a great group of,e-Commerce,United States,1996,Shut Down,Bad Business Model,2018,1,Phil Smy,5,4,509232,-1,3
Transpose,Smart workspace for businesses to manage projects,Productivity,United States,2015,Shut Down,Bad Business Model,2015,4,"Hussein Ahmed, Matt Goyer, Samah Gad, Skyler Johnson-Wagner",34,1,0,-1,2
Turntable.fm,Online interactive platform for DJs and listeners,Music,United States,2011,Shut Down,Bad Business Model,2013,1,Billy Chasen,6,1,19865,-1,10
Xinja,Australia's first licensed neobank,Finances,Australia,2017,Shut Down,Bad Business Model,2020,2,"Eric Wilson, Van Le",16,4,179427,-1,1
Zoomo,P2P transactions of pre-owned cars,Transportation,India,2014,Shut Down,Bad Business Model,2016,2,"Arnav Kumar, Himangshu Hazarika",43,2,134022,-1,2
community-coders,"While in university, Kaito started Community Coders, a business that connected companies",Education,Canada,2018,Shut Down,Bad Management,2020,4,Kaito Cunningham,21,2,87462,-1,1
flux,Flux was a modular multi messaging client. They raised a small angel,Software & Hardware,Germany,2016,Shut Down,Bad Management,2018,1,Jan Johannes,38,2,176227,-1,1
howell-market,Howell Market was an online store where individual sellers could go to,e-Commerce,United States,2015,Shut Down,Bad Management,2018,1,Cody Howell,17,2,145537,-1,3
motionthink,"After moving to SF, Andrew joined a startup accelerator that included a",Productivity,United States,2019,Shut Down,Bad Management,2020,7,Andrew Chen,6,4,10387,-1,9
Salorix,Online social network engagement platform,Analytics,United States,2009,Shut Down,Bad Management,2014,1,Santanu Bhattacharya,33,2,689592,-1,2
Wesabe,Personal finance management website,Finances,United States,2005,Shut Down,Bad Management,2010,2,"Jason Knight, Marc Hedlund",11,2,164565,-1,2
Yogome,Educational Mobile Games for Kids,Education,Mexico,2010,Shut Down,Bad Management,2018,2,"Alberto Colin, Manolo Diaz",43,4,1369136,-1,6
101-studios,101 Studios was a producer of video games that taught users things,Education,United States,2017,Shut Down,Bad Market Fit,2020,2,Matt Ã¢â‚¬Å“GundayMondayÃ¢â‚¬Â Sever,27,1,323921,-1,4
ansaro,"Sam was one of the co-founders of Ansaro, a SaaS that aimed",Software & Hardware,United States,2016,Shut Down,Bad Market Fit,2020,1,Sam Stone,44,1,550321,-1,1
boston-apartment-hub,Boston Apartment Hub was an apartment listing site for the Boston area.,Software & Hardware,United States,2015,Shut Down,Bad Market Fit,2018,1,Jon Sherman,39,3,500646,-1,1
botnim,Botnim was a web application that provided near dishes and their nutritional,Food & Beverage,Israel,2016,Shut Down,Bad Market Fit,2018,1,Shaked Klein Orbach & Gilad Peled,23,2,89648,-1,1
dotahaven,"Kyril is the founder of DotaHaven, a gaming content site thatÃ¢â‚¬â„¢s currently",Entertainment,Bulgaria,2018,Shut Down,Bad Market Fit,2020,3,Kyril Kotashev,12,3,38907,-1,7
patron-ai,"Ãƒâ€“mer launched patron.ai, a gamification platform for developer teams. After promoting it",Productivity,Turkey,2018,Shut Down,Bad Market Fit,2021,1,Ãƒâ€“mer Taban,49,1,532527,-1,1
refolo,"Lola founded Refolo, a meal-planning app focused on plant-based eating. After spending",Health,United States,2019,Shut Down,Bad Market Fit,2021,1,Lola Ojabowale,7,3,22513,-1,8
ropero,Ropero was an e-commerce aiming to sell t-shirts in an unprepared market.,e-Commerce,Mexico,2001,Shut Down,Bad Market Fit,2018,1,Rafael Soto,6,4,445368,-1,9
siempo,"Andrew and his team built Siempo, a smartphone interface designed to support",Health,United States,2016,Shut Down,Bad Market Fit,2021,1,Andrew Murray,35,4,618514,-1,9
singulution,Hunt was a software engineer at a Silicon Valley company when he,Software & Hardware,United States,2017,Shut Down,Bad Market Fit,2019,1,Hunt Burdick,47,3,162465,-1,6
swipes,"With 2 partners, Stefan co-founded Swipes, a company that developed productivity tools.",Productivity,Bulgaria,2013,Shut Down,Bad Market Fit,2019,1,Stefan Vladimirov,8,3,214323,-1,1
tali,"Matt created Tali, a timekeeping solution for lawyers powered by voice technology",Software & Hardware,United States,2017,Shut Down,Bad Market Fit,2019,3,Matthew Volm,31,1,132766,-1,3
tandem,Tandem was a live streaming platform for fitness. Cause of failure? Live,Health,United States,2014,Shut Down,Bad Market Fit,2018,1,Nick Raushenbush,45,4,790624,-1,1
wantremotejob,Vyacheslav is a software engineer who in 2017 decided to build a,Software & Hardware,Latvia,2017,Shut Down,Bad Market Fit,2019,1,Vyacheslav Grzhybovsky,18,1,83329,-1,1
addressbin,Addressbin was an easy way to collect email addresses. Bad marketing and,Software & Hardware,Canada,2016,Shut Down,Bad Marketing,2018,1,Adam Bard,6,2,19968,-1,1
habitual,"Holger Sindbaek is the founder of Habitual, a habit-tracking app that was",Productivity,Denmark,2018,Shut Down,Bad Marketing,2020,1,Holger Sindbaek,14,4,51252,-1,8
motobox,"Simple, WiFi-enabled, OBD-II vehicle data logger and cloud services creating a platform",Transportation,United States,2013,Shut Down,Bad Marketing,2018,1,Joe Stech,15,3,277981,-1,8
muun,"Eelco built Muun in his own, a SaaS that allowed co-working spaces",Software & Hardware,Netherlands,2014,Shut Down,Bad Marketing,2018,1,Eelco,46,4,653348,-1,3
sharkius,"Sharkius was a social games company. It grew too fast, too quickly.",Entertainment,United Kingdom,2007,Shut Down,Bad Marketing,2018,1,David Kramaley,21,1,671065,-1,3
vivalatina,Nicolas started an e-Commerce that imported sterling silver jewelry from Mexico and,e-Commerce,Mexico,2012,Shut Down,Bad Marketing,2018,1,Nicolas Tranchant,23,4,464774,-1,2
waterproof-digital-camera,Waterproof Digital Camera was a blog earning $250/month. Primoz started to look,Software & Hardware,Slovenia,2011,Shut Down,Bad Marketing,2018,1,Primoz Cigler,49,2,1286873,-1,1
Zulily,Online retailer that offered daily deals,e-Commerce,United States,2009,Shut Down,Bad Marketing,2012,2,"Darrell Cavens, Mark Vadon",1668,5,23622596,-1,7
HubHaus,Platform for co-living spaces,Software & Hardware,United States,2016,Shut Down,Bad Timing,2020,3,"Kerry Jones, Shruti Merchant, Sloane Yu",39,2,654214,-1,2
Vreal,VR game-streaming platform,Entertainment,United States,2015,Shut Down,Bad Timing,2016,1,Todd Hooper,12,3,24098,-1,13
Argyle Social,Provided social media management tools,Marketing,United States,2010,Shut Down,Competition,2014,1,Adam Covati,7,2,116621,-1,2
